Date : 2026-09-10 19:28:09
Directory : /home/lexyleinchen/osdev/PrintOS
Total : 62 files,  5651 codes, 11 comments, 1541 blanks, all 7203 lines

Languages
+-------------------------+------------+------------+------------+------------+------------+
| language                | files      | code       | comment    | blank      | total      |
| /home/lexyleinchen/osdev/PrintOS/src/kernel/drivers/ahci/ahci.h                        | C++                     |         12 |          0 |          6 |         18 |
| /home/lexyleinchen/osdev/PrintOS/src/kernel/drivers/ide/ide.c                          | C                       |        292 |          0 |         68 |        360 |
| /home/lexyleinchen/osdev/PrintOS/src/kernel/drivers/ide/ide.h                          | C++                     |         12 |          0 |          6 |         18 |
| /home/lexyleinchen/osdev/PrintOS/src/kernel/drivers/pci/pci.c                          | C                       |         97 |          0 |         19 |        116 |
| /home/lexyleinchen/osdev/PrintOS/src/kernel/drivers/pci/pci.h                          | C++                     |         24 |          0 |          9 |         33 |
| /home/lexyleinchen/osdev/PrintOS/src/kernel/drivers/ps2/ps2.c                          | C                       |        141 |          0 |         36 |        177 |
| /home/lexyleinchen/osdev/PrintOS/src/kernel/drivers/ps2/ps2.h                          | C++                     |         14 |          0 |          8 |         22 |
| /home/lexyleinchen/osdev/PrintOS/src/kernel/drivers/usb/usb.c                          | C                       |        725 |          0 |        167 |        892 |
| /home/lexyleinchen/osdev/PrintOS/src/kernel/drivers/usb/usb.h                          | C++                     |         30 |          0 |          7 |         37 |
| /home/lexyleinchen/osdev/PrintOS/src/kernel/framebuffer/framebuffer.c                  | C                       |          8 |          0 |          3 |         11 |
| /home/lexyleinchen/osdev/PrintOS/src/kernel/framebuffer/framebuffer.h                  | C++                     |         18 |          0 |          7 |         25 |
| /home/lexyleinchen/osdev/PrintOS/src/kernel/inputs/keyboard.c                          | C                       |          0 |          0 |          1 |          1 |
| /home/lexyleinchen/osdev/PrintOS/src/kernel/inputs/keyboard.h                          | C++                     |         15 |          0 |          9 |         24 |
| /home/lexyleinchen/osdev/PrintOS/src/kernel/inputs/mouse.c                             | C                       |        169 |          0 |         46 |        215 |
| /home/lexyleinchen/osdev/PrintOS/src/kernel/inputs/mouse.h                             | C++                     |         24 |          0 |         14 |         38 |
| /home/lexyleinchen/osdev/PrintOS/src/kernel/kernel.c                                   | C                       |         29 |          0 |          3 |         32 |
| /home/lexyleinchen/osdev/PrintOS/src/kernel/storage/block.c                            | C                       |         70 |          0 |         23 |         93 |
| /home/lexyleinchen/osdev/PrintOS/src/kernel/storage/block.h                            | C++                     |         41 |          0 |         15 |         56 |
| /home/lexyleinchen/osdev/PrintOS/src/kernel/storage/partition/filesystem/fat32/fat32.c | C                       |        932 |          0 |        256 |      1,188 |
| /home/lexyleinchen/osdev/PrintOS/src/kernel/storage/partition/filesystem/fat32/fat32.h | C++                     |         52 |          0 |         17 |         69 |
| /home/lexyleinchen/osdev/PrintOS/src/kernel/storage/partition/filesystem/filesystem.c  | C                       |         64 |          0 |         20 |         84 |
| /home/lexyleinchen/osdev/PrintOS/src/kernel/storage/partition/filesystem/filesystem.h  | C++                     |         32 |          0 |         14 |         46 |
| /home/lexyleinchen/osdev/PrintOS/src/kernel/storage/partition/partition.c              | C                       |        373 |          0 |        105 |        478 |
| /home/lexyleinchen/osdev/PrintOS/src/kernel/storage/partition/partition.h              | C++                     |         39 |          0 |         17 |         56 |
| /home/lexyleinchen/osdev/PrintOS/src/kernel/storage/storage.c                          | C                       |        107 |          0 |         31 |        138 |
| /home/lexyleinchen/osdev/PrintOS/src/kernel/storage/storage.h                          | C++                     |         16 |          0 |         10 |         26 |
| /home/lexyleinchen/osdev/PrintOS/src/linker.ld                                         | LinkerScript            |         32 |          0 |          7 |         39 |
| /home/lexyleinchen/osdev/PrintOS/src/os/app.h                                          | C++                     |          8 |          0 |          3 |         11 |
| /home/lexyleinchen/osdev/PrintOS/src/os/app_registry.h                                 | C++                     |         24 |          0 |          9 |         33 |
| /home/lexyleinchen/osdev/PrintOS/src/os/font.cpp                                       | C++                     |        446 |          0 |         61 |        507 |
| /home/lexyleinchen/osdev/PrintOS/src/os/font.h                                         | C++                     |          7 |          0 |          5 |         12 |
| /home/lexyleinchen/osdev/PrintOS/src/os/graphics.cpp                                   | C++                     |         65 |          1 |         18 |         84 |
| /home/lexyleinchen/osdev/PrintOS/src/os/graphics.h                                     | C++                     |         17 |          0 |         10 |         27 |
| /home/lexyleinchen/osdev/PrintOS/src/os/os.cpp                                         | C++                     |         36 |          2 |          6 |         44 |
| /home/lexyleinchen/osdev/PrintOS/src/os/os.h                                           | C++                     |         11 |          0 |          5 |         16 |
| /home/lexyleinchen/osdev/PrintOS/src/os/os_mouse.cpp                                   | C++                     |         48 |          0 |          6 |         54 |
| /home/lexyleinchen/osdev/PrintOS/src/os/os_mouse.h                                     | C++                     |          5 |          0 |          3 |          8 |
| /home/lexyleinchen/osdev/PrintOS/src/os/taskbar.cpp                                    | C++                     |         36 |          2 |          8 |         46 |
| /home/lexyleinchen/osdev/PrintOS/src/os/taskbar.h                                      | C++                     |          6 |          0 |          3 |          9 |
| /home/lexyleinchen/osdev/PrintOS/src/os/ui.cpp                                         | C++                     |        284 |          1 |         76 |        361 |
| /home/lexyleinchen/osdev/PrintOS/src/os/ui.h                                           | C++                     |         39 |          0 |         18 |         57 |
| Total                                                                                  |                         |      5,651 |         11 |      1,541 |      7,203 |
+----------------------------------------------------------------------------------------+-------------------------+------------+------------+------------+------------+
