"filename", "language", "Makefile", "Properties", "C++", "Markdown", "C", "x86 and x86_64 Assembly", "LinkerScript", "comment", "blank", "total"
"/home/lexyleinchen/osdev/PrintOS/src/kernel/storage/partition/filesystem/filesystem.h", "C++", 0, 0, 32, 0, 0, 0, 0, 0, 14, 46
"/home/lexyleinchen/osdev/PrintOS/src/kernel/storage/partition/partition.c", "C", 0, 0, 0, 0, 373, 0, 0, 0, 105, 478
"/home/lexyleinchen/osdev/PrintOS/src/kernel/storage/partition/partition.h", "C++", 0, 0, 39, 0, 0, 0, 0, 0, 17, 56
"/home/lexyleinchen/osdev/PrintOS/src/kernel/storage/storage.c", "C", 0, 0, 0, 0, 107, 0, 0, 0, 31, 138
"/home/lexyleinchen/osdev/PrintOS/src/kernel/storage/storage.h", "C++", 0, 0, 16, 0, 0, 0, 0, 0, 10, 26
"/home/lexyleinchen/osdev/PrintOS/src/linker.ld", "LinkerScript", 0, 0, 0, 0, 0, 0, 32, 0, 7, 39
"/home/lexyleinchen/osdev/PrintOS/src/os/app.h", "C++", 0, 0, 8, 0, 0, 0, 0, 0, 3, 11
"/home/lexyleinchen/osdev/PrintOS/src/os/app_registry.h", "C++", 0, 0, 24, 0, 0, 0, 0, 0, 9, 33
"/home/lexyleinchen/osdev/PrintOS/src/os/font.cpp", "C++", 0, 0, 446, 0, 0, 0, 0, 0, 61, 507
"/home/lexyleinchen/osdev/PrintOS/src/os/font.h", "C++", 0, 0, 7, 0, 0, 0, 0, 0, 5, 12
"/home/lexyleinchen/osdev/PrintOS/src/os/graphics.cpp", "C++", 0, 0, 65, 0, 0, 0, 0, 1, 18, 84
"/home/lexyleinchen/osdev/PrintOS/src/os/graphics.h", "C++", 0, 0, 17, 0, 0, 0, 0, 0, 10, 27
"/home/lexyleinchen/osdev/PrintOS/src/os/os.cpp", "C++", 0, 0, 36, 0, 0, 0, 0, 2, 6, 44
"/home/lexyleinchen/osdev/PrintOS/src/os/os.h", "C++", 0, 0, 11, 0, 0, 0, 0, 0, 5, 16
"/home/lexyleinchen/osdev/PrintOS/src/os/os_mouse.cpp", "C++", 0, 0, 48, 0, 0, 0, 0, 0, 6, 54
"/home/lexyleinchen/osdev/PrintOS/src/os/os_mouse.h", "C++", 0, 0, 5, 0, 0, 0, 0, 0, 3, 8
"/home/lexyleinchen/osdev/PrintOS/src/os/taskbar.cpp", "C++", 0, 0, 36, 0, 0, 0, 0, 2, 8, 46
"/home/lexyleinchen/osdev/PrintOS/src/os/taskbar.h", "C++", 0, 0, 6, 0, 0, 0, 0, 0, 3, 9
"/home/lexyleinchen/osdev/PrintOS/src/os/ui.cpp", "C++", 0, 0, 284, 0, 0, 0, 0, 1, 76, 361
"/home/lexyleinchen/osdev/PrintOS/src/os/ui.h", "C++", 0, 0, 39, 0, 0, 0, 0, 0, 18, 57
"Total", "-", 108, 4, 2000, 106, 3296, 105, 32, 11, 1541, 7203
